,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
18,1973-10-10 23:00:00,bermuda nas,,,light,20,20 sec.,saw fast moving blip on the radar scope thin went outside and saw it again.,01/11/2002,32.364167,-64.678611
69,1996-10-10 20:00:00,lake macquarie (nsw&#44 australia),,,light,300,5 min,RED LIGHT WITH OTHER RED FLASHING LIGHT&#44 ONE OBJECT,5/24/1999,-33.093373,151.588982
102,2000-10-10 03:45:00,carnival cruise ship (paradise) (caribbean),,,flash,1200,20 mins.,Motionless eratic flashing light.,12/09/2000,0,0.0
126,2002-10-10 22:00:00,bahamas,,,egg,0,,we are sitting outside and commenting on all the air traffic tonight. over to the east we were watching what we thought a plane but nev,10/15/2002,25.03428,-77.39628
136,2003-10-10 23:00:00,bickerton (near wetherby) (uk/england),,,unknown,2700,45minutes,two bright&#44 but fuzzy lights going in a hovering circle about 200 yards of the ground&#44 with a grey cloud above them,10/15/2003,53.070884,-2.736506
218,2009-10-10 00:00:00,greenland,,,rectangle,0,,Found this on google maps 70.5&#44 -40.3 Look it up&#44 this can&#39t be an error or an artifact on the photo it is 50+ miles long.,12/12/2009,0,0.0
549,1970-10-01 00:00:00,viet nam,,,light,600,5/10 minutes,U.F.O. in Vietnam    1970,06/04/2004,14.058324,108.277199
556,1970-10-01 23:00:00,indian ocean (usn vessel),,,light,240,3-4 minutes,Bright object seemingly appeared out of nowhere in the Indian Ocean&#44 miles from any land.,07/08/2004,-33.137551,81.826172
665,1995-10-01 21:00:00,uk/england,,,light,0,,I was stargazing when I saw a plane fly overhead towards the Irish sea. Flying beside the plane was a ball of light. The light circled,8/28/2002,52.355518,-1.17432
706,1998-10-01 21:00:00,wadley (5 hrs from san luis opsipo) (mexico),,,triangle,900,15 min each,While on a 5-day camping trip in Mexico&#44 two campers had a close encounter on TWO occasions.,11/19/1998,0,0.0
752,2002-10-01 00:30:00,hong kong,,,formation,1800,30 minutes,Sighting in Hong Kong SAR,10/15/2002,22.396428,114.109497
867,2006-10-01 06:00:00,iraq,,,triangle,15,15 seconds,I SAW THE SAME THING  IN 2006,07/05/2008,33.223191,43.679291
1068,1967-10-12 01:45:00,viet nam (jungles of),,,other,3600,1 hour,Lights in the Nam,12/03/2004,14.058324,108.277199
1110,2000-10-12 11:09:00,la serena (vi&ntilde;a del mar) (chile),,,formation,7620,127 m,I dont Write English But I Have a 3 Videos Bery high resolution My email victorvialt@123click.cl Chile Suth America,4/25/2002,-29.906301,-71.250204
1122,2001-10-12 12:34:00,dublin (republic of ireland),,,light,754,12:34,it was just threefashhes of ight in the sky,11/20/2001,0,0.0
1125,2001-10-12 19:40:00,sainte-suzanne (near switzerland) (france),,,other,2,2 secondes,The craft was too dark&#44 but behind i have seen a long and large light blue flame&#44 and all disapeared after a zigzag of 2 sec. The direc,10/12/2001,48.097456,-0.349277
1136,2002-10-12 19:13:00,australia (rural),,,other,420,7 minutes,This was a very close encounter with  unidentifiable flying phenomenon.,08/12/2008,-25.274398,133.775136
1181,2006-10-12 14:00:00,cotswold (eastleich) (uk/england),,,oval,0,,DISC  CRAFT OVER COTSWOLDS UK,12/14/2006,35.18487,-80.79071
1394,2003-10-13 12:30:00,guasave sinaloa,,,changing,480,8 minutes,Change form getting energy,11/26/2003,25.566699,-108.467305
1612,1998-10-14 01:45:00,south eastern coast (republic of ireland),,,chevron,300,5 min,Was at a hotel on the southern coast of Ireland&#44 just enjoying the night air&#44 when a light appeared about 30 degrees off the horizon&#44,11/01/1998,22.564254,114.229432
1718,2007-10-14 04:15:00,barquisimeto (venezuela),,,circle,120,at least 2 minutes,Round shaped ship with lights around&#44 static movement and then fly away,11/28/2007,10.063611,-69.334722
1760,2010-10-14 19:28:00,shelbyville,,,egg,300,5 minutes,4 objects one moving others still and started moving when it was in their area. erratic patern.,11/21/2010,0,0.0
1763,2010-10-14 21:30:00,tehran (iran),,,triangle,3600,1 hour,i like to share My Hd film,11/21/2010,35.696111,51.423056
1790,2011-10-14 22:20:00,san mateo,,,light,1200,20 minutes,8 to 12 orange lights flying slowly at sf bay.,10/19/2011,0,0.0
1839,1947-10-15 21:00:00,palmira,,,circle,3600,1 hour,After a concert given in the small town of Palmira&#44 Colombia&#44  a group of people accompanied the singer to the town square to talk with,04/02/1999,0,0.0
1877,1968-10-15 21:30:00,pacific ocean (1500mi.sw of u.s.mainland),,,circle,30,30 sec.,Bright&#44 white soundless orb with no trajecory nor trail of flames,09/12/2003,-8.783195,-124.508523
1896,1972-10-15 17:00:00,long bink (viet nam),,,other,45,30-45 seconds,Camouflaged UFO flew low and slow over military post,9/15/2005,0,0.0
1903,1973-10-15 23:00:00,germany (czech border),,,flash,60,1 minute,It&#39s not the only time &#33&#33,08/01/2003,51.165691,10.451526
2028,1990-10-15 22:30:00,saudi arabia,,,triangle,20,15 -20 seconds,October 1990 - Saudi Arabia - large dark triangular object - 3 white lights -  20 seconds - no sound - no stars behind object,10/20/2005,23.885942,45.079162
2039,1993-10-15 04:00:00,dublin (republic of ireland),,,,45,45 seconds,i am a professional person&#44 45yrs of age now.have 8&quot; reflector telescope for star gazing. a good knoledge of science etc&#44 very level he,09/09/2003,0,0.0
2054,1994-10-15 22:00:00,bry sur marne  (near paris) (france),,,,120,some minuts,Two red lights in the sky,10/28/2002,48.834913,2.523649
2069,1995-10-15 23:00:00,split (in former yugoslavia),,,fireball,15,15 seconds,I was standing on the shore of the Adriatic Sea looking towrds Italy&#44 seen object go frm left to right&#44 approx  altitiude1000ft,02/01/2007,43.508132,16.440193
2151,2000-10-15 01:00:00,los americas (laguna park 1 hotel) (tenerife),,,circle,45,45 seconds,the UFO traveled horizontaly above us&#44for approx 45 seconds before shooting upwards into the sky and dissapearing.,12/09/2003,4.52572,-75.6976
2371,2009-10-15 22:30:00,pampatar-margarita island (venezuela),,,triangle,4,3-4 seconds,Triangular UFO over Margarita Island&#44 Venezuela. October 2009,2/14/2010,10.999444,-63.794444
2424,2012-10-15 09:00:00,angeles city anunas brgy (near frmr clark afb) (philippines),,,disk,90,90 seconds,Bright White colored&#44 Saucer shaped UFO&#44 camouflaged to blend with the clouds.,8/30/2013,0,0.0
2488,2000-10-16 19:00:00,tulcea (danube delta) (romania),,,unknown,0,undefinite,Danube Delta - Romania - A group of five flashing lights hovering in the air,12/02/2000,45.171617,28.791444
2605,2010-10-16 13:00:00,anonymous,,,,0,until now,Just want to talk to someone about what I&#39ve seen &amp; experienced,01/05/2011,-16.365181,-46.89572
2626,2011-10-16 19:30:00,gaia,,,circle,600,10 miutes,Blue light ufo making strange movements,10/25/2011,13.075418,-59.493768
2741,2002-10-17 22:30:00,vrsac (yugoslavia),,,diamond,7,7 sec.,We saw a huge space craft from some other planet.,10/28/2002,45.116667,21.3
2748,2003-10-17 16:54:00,cape town (south africa),,,sphere,30,30 sec,Round sphere speeding along a horizontal path,10/31/2003,-33.924868,18.424055
2927,1998-10-18 23:35:00,dublin (blanchardstown)  (republic of ireland),,,light,1800,30mins,A moving star in the sky&#44 jerking&#44 zig-zaging&#44 etc...,11/01/1998,0,0.0
2998,2004-10-18 20:00:00,uk/england,,,cylinder,60,1 min,cigar shape object that hoverd above a house then at speed whent in to the sky,12/03/2004,52.355518,-1.17432
3011,2006-10-18 19:00:00,san carlos,,,triangle,2,2sec,Triangle UFO in San Carlos Mexico Oct 18&#4406,10/30/2006,0,0.0
3042,2009-10-18 19:45:00,johannesburg (south africa),,,circle,35,35 seconds,2 very faint&#44 circular&#44 transparent&#44 moving halos seen in Johannesburg&#44 South Africa on a clear evening.,12/12/2009,0,0.0
3044,2009-10-18 20:45:00,senekal (south africa),,,light,180,3min,Pulsating&#44 bright light with light waves,12/12/2009,-28.316667,27.6
3045,2009-10-18 22:00:00,bloemfontein (free state),,,circle,60,1 minute or so,I reside in the USA. My brother called me from South Africa trying to find out how he can report what he saw in the sky. It was a a cle,12/12/2009,-29.1,26.216667
3047,2009-10-18 22:00:00,mossel bay (south africa),,,circle,600,10 min or more,These crafts move from direction Cape town...Mossel bay...George etc.All reported by my dauther to observatory in Cape town.Ref,12/12/2009,-34.183333,22.133333
3161,2001-10-19 00:30:00,wicklow (republic of ireland),,,egg,180,3 minutes,HOVERING LIGHTS OUTSIDE OUR WINDOW,11/20/2001,52.980821,-6.044589
3163,2001-10-19 18:30:00,anguilla,,,light,60,1minute,Well a lite very far mouving up and down slitghly mouving and then its gone lite went of thanks for beliving guys not many peaple do ch,11/20/2001,0,0.0
3232,2008-10-19 06:40:00,puntarenas (costa rica),,,sphere,60,1 minute,Small white ball  2&quot; diameter hovering in the ocean with 4&quot; diameter blades.,10/31/2008,9.977844,-84.829421
3290,2012-10-19 02:30:00,gimhae (kimhae) (south korea),,,disk,5400,1-1.5 hours,The Night sky in Gimhae on the 10/19/12,10/30/2012,35.228545,128.889352
3353,1962-10-20 05:30:00,ramey airforce base (sac) (puerto rico),,,oval,2700,45 minutes,Strange cloud seen at Airforce Base near the Carribean Sea,06/03/2011,38.738308,-93.573028
3443,2001-10-20 13:00:00,riyadh/ saudi arabia,,,circle,0,mid night,i have seen a 3 flying objects at the mid night while i was waching the moon. there description or the descreption of the ufo&#39s that i,12/05/2001,24.711667,46.724167
3565,2008-10-20 02:00:00,indian ocean,,,unknown,300,5 minuts,at night in the middle of the ocean ( a light from unknown source inspecting my ship) from 50-100 meter,8/27/2009,-33.137551,81.826172
3578,2009-10-20 00:15:00,kiimberley (south africa),,,unknown,10,10 seconds,no lights no sound only portion of ojectt seen,12/12/2009,-28.741944,24.771944
3620,2011-10-20 18:30:00,cali,,,triangle,1500,25 minutes,Triangular object seen by multiple witnesses in cali&#44 Colombia,01/12/2012,3.420556,-76.522222
3683,1966-10-21 02:00:00,goose air base (labrador) (canada),,,sphere,240,4 minutes,Light followed a landing aircraft at Goose AB&#44 Labrador 1966,04/03/2011,32.346612,-86.167221
3694,1989-10-21 23:45:00,dublin (republic of ireland),,,triangle,1500,25mins[at least],i was taking a shortcut through the secondary school and i saw a very bright light&#44i thought it was a really bright star.as i got close,06/06/2000,0,0.0
3932,2000-10-02 20:30:00,mitchelstown (republic of ireland),,,unknown,300,5 minutes,I saw one object moving erracticly across the sky at vairous different speed&#39s. There was no sound accompanying the object. it was also,12/02/2000,52.266213,-8.269886
4011,2008-10-02 20:00:00,neacroft (christchurch) bournemouth (uk/england),,,unknown,300,5 minutes,Cluster of flashing lights spotted,10/31/2008,0,0.0
4050,2011-10-02 21:50:00,barahona (dominican republic),,,other,15,15 sec,Lights Shaped Like Boomerang,10/10/2011,18.2,-71.1
4121,2000-10-22 10:30:00,peru,,,disk,0,,Video and digital photo show a disk type object about 100 feet diameter.,8/28/2002,0,0.0
4336,1998-10-23 18:37:00,hollymount (county mayo) (republic of ireland),,,sphere,90,1min30seconds,There were 3 witnesses to a glowing ball of light in the west of Ireland It was metalic because the sun which was setting reflected off,10/02/1999,0,0.0
4340,1999-10-23 02:00:00,johannesburg (south africa),,,other,6,6 seconds,What can only be described as a comet with multiple light sources (at least three - one large at front and one to the left of the front,11/02/1999,0,0.0
4353,2000-10-23 10:00:00,cuba (se coast of&#44 board sea princess),,,other,0,?,Didn&#39t see it while aboard ship.  When had film processed an object appeared that was not noticed.  I am attaching it.  Nobody on the s,4/28/2001,0,0.0
4363,2001-10-23 21:30:00,durban (south africa),,,triangle,1,1 second,lightning craft,11/20/2001,-29.85868,31.02184
4398,2005-10-23 21:00:00,cyprus (mediterranean sea),,,formation,60,60 seconds,twenty orange coloured oblong shapes arranging themselves into a formation&#44 silently.,11/03/2005,35.126413,33.429859
4412,2006-10-23 22:30:00,ponce (ponce) (puerto rico),,,triangle,1200,20 minutes,I seen a triangle in the sky with blinking lights.  ((NUFORC Note:  We wonder whether this is a serious report.  PD)),12/07/2006,0,0.0
4577,1995-10-24 02:00:00,tyrrhenian sea,,,sphere,30,30sec,blue colour sphere was obsereved from containership&#44dia abt 4mtrs&#44from dist of abt 8mtr.Moved after twds Italian coast.,7/16/2006,40.076986,11.343106
4816,1991-10-25 00:05:00,prague (czech republic),,,sphere,10,10 seconds,Yellow sphere with a red blinking sphere on the top&#44 flew straightly in very high speed without any sound,12/03/2004,0,0.0
4822,1995-10-25 20:45:00,sion mills (northern ireland),,,fireball,45,3/4 seconds,Two suns flying over our heads in Co. Tyrone&#44 Northern IrelandOctober 1995,8/14/2007,54.78535,-7.47427
4872,2004-10-25 04:21:00,m. fokani/hims (syria),,,sphere,120,2 min,Cold blue light,11/03/2005,34.809422,37.094261
4920,2008-10-25 19:30:00,san jose del cabo (baja&#44 mexico),,,fireball,900,15 minutes,Orange fiery shapes at just above sea level  travelling in southern direction toward Cabo San Lucas,06/09/2009,23.063656,-109.702438
4996,2013-10-25 18:25:00,al warqaa 1 (u.a.r.),,,light,600,5-10 minutes,Cloud containing yellow&#44 purple and red lights for 5 minutes.  Lights remained contained and cloud disappeared after 5-10 minutes.,11/11/2013,25.187459,55.405636
4999,2013-10-25 19:50:00,padang (west sumatra) (indonesia),,,light,7200,2 hours,Thursday 25 Oct 2013 at 1950pm cyrcle with lights around flying and stand still for 2 hrs in the sky of Padang West Sumatra,11/11/2013,-0.95,100.353056
5022,1994-10-26 02:30:00,brixham.devon (at sea.fishing) (uk/england),,,sphere,1200,20 minets,the object moved at speed from one place to enother&#44then stopt and started follwing  are boat then vanishd.,11/04/2002,50.39514,-3.513924
5153,2008-10-26 20:10:00,buenos aires (almagro pale&#44 belgrano) (brazil),,,disk,240,4 minutos,Un misterioso Ovni Lenticular de aspecto Marron Oscuro,10/31/2008,-34.603723,-58.381593
5265,2001-10-27 23:00:00,durban (south africa),,,disk,2,few seconds,comman disk,11/20/2001,-29.85868,31.02184
5327,2008-10-27 08:00:00,lahore (punjab) (pakistan),,,triangle,300,5 minutes,Strange objects over lahore&#44 Pakistan.,01/10/2009,31.554606,74.357158
5457,2000-10-28 20:30:00,negombo (sri lanka),,,fireball,0,30,Bright red lights&#44 almost like a flare,12/09/2000,7.189464,79.858734
5718,2002-10-29 22:37:00,philippines,,,changing,180,3 mins,ufo appeared at the sky while we&#39re eating,02/01/2007,12.879721,121.774017
5785,2008-10-29 19:30:00,west riffa (kingdom of bahrain),,,triangle,0,,Weird Object moving slowly to West and then disappeared in nano second,10/31/2008,26.13,50.555
5829,2010-10-29 21:00:00,indian ocean,,,fireball,5400,1.5 hrs,During the routine bridge watch at sea&#44 on the 29th Oct 2010 2200 UTC in position 03 56S 074 59E&#44 I happened to observe a bright reddis,11/21/2010,-33.137551,81.826172
5833,2011-10-29 02:30:00,kuwait city (near) (kuwait),,,circle,600,~10 minute,Three bright lights lined up on Orions Belt; darted across sky to form triangle,07/03/2013,29.369722,47.978333
5978,2005-10-30 04:31:00,l&#180;arbo&ccedil; (catalunya) (spain),,,disk,2220,37 min,OBJETO TIPO DISCO VISTO EN DEP&Ograve;SITO DE AGUA &#44 ENCIMA ANTENA DE R&Agrave;DIO L&#180;ARBO&Ccedil; 106.8 FM MET&Agrave;LICO. ESTATICO POSADO ENCIMA DEL CUERPO D,11/03/2005,41.265988,1.602034
6099,2012-10-30 22:45:00,uk/england,,,light,3600,1 hour,Fast moving light rotating in a circle.  ((NUFORC Note:  Possible advertising light??  PD)),11/04/2012,52.355518,-1.17432
6369,2005-10-31 19:30:00,australia,,,disk,180,3 minutes,Chromed disc shapped object moving irractically&#44 dissapearing/reapearing&#44 very fast to floating at times. Clear skies at dusk.,11/08/2005,-25.274398,133.775136
6444,2009-10-31 12:00:00,tunisia (in-flight; over ocean),,,formation,420,7 min,Bright triangular formations in the sky,07/06/2011,33.886917,9.537499
6449,2009-10-31 19:50:00,derry (northern ireland),,,changing,120,1-2 minutes,Several people witness a strange light that changed shape&#44 direction and speed over Derry.,12/12/2009,0,0.0
6494,2011-10-31 20:30:00,dehradun (uttar pradesh) (india),,,flash,2,few seconds,It was a conical flare at very high speed( 50M?)&#44 no sound and it was there for few seconds.,12/12/2011,30.316495,78.032192
6698,2010-10-03 19:50:00,johannesburg (south africa),,,formation,480,8 minutes,3 red lights form triangular shape - just hovering in the air.,11/21/2010,0,0.0
6807,2001-10-04 12:30:00,port of spain (trinidad),,,sphere,40,40 seconds,Round&#44 white sphere&#44 moving at incredible speed&#44 stopping and moving at right angles.,11/20/2001,10.666667,-61.516667
6922,2011-10-04 20:30:00,pohang (south korea),,,light,2700,45 min,Over 70 soft lights seen hovering over Pohang&#44 South Korea.,10/19/2011,36.019018,129.343481
7004,1999-10-05 10:57:00,tuaran (sabah) (malaysia),,,fireball,240,4 minutes,2 glowing fireball (white blue) crossing from west coast going to Mt. Kinabalu direction. Elevation more than ten thousands feet approx,10/19/1999,6.168561,116.234834
7155,2012-10-05 19:20:00,chennai (tamil nadu) (india),,,circle,120,2 minutes,A bigger bright light moving slowly&#44 in night sky for aprox. 2 min was seen&#44 no sound heard and suddenly the bright light started to di,10/30/2012,13.052414,80.250825
7189,2013-10-05 20:14:00,seoul (south korea),,,oval,1200,20 minutes,12 UFOs spotted hovering North of Seoul before speeding off North into restricted airspace.,10/14/2013,37.566535,126.977969
7216,1986-10-06 00:20:00,janico (santiago) (dominican republic),,,circle,120,2 mins,The craft stood directly above the center of the town&#44 the most vivid assortment of lights.  In the blink of an eye&#44 it dissappeared&#44 l,9/13/2002,19.325936,-70.816455
7217,1992-10-06 13:00:00,prishtina,,,circle,20,20 seconds,Orange Circle,2/14/2006,42.657798,21.153346
7228,1998-10-06 23:00:00,dublin (republic of ireland),,,triangle,600,10 mins,Three star like objects.,02/08/2005,0,0.0
7241,2000-10-06 22:00:00,uk/england,,,triangle,60,about 1 minute,RED TRIANGLES&#44 WHITE SPOTS--------VERY FAST&#33&#33&#33&#33&#33,07/05/2005,52.355518,-1.17432
7269,2004-10-06 00:00:00,japan,,,other,120,2 minutes,LARGE&#44 WHITE UNMOVING CRAFT - POSSIBLY DAMAGED,10/27/2004,36.204824,138.252924
7399,2012-10-06 21:11:00,johannesburg (kempton park) (republic of south africa),,,circle,600,10 minutes,RSA&#44 silent&#44 bright orange&#44 moving slowly&#44 one did two 90&#176; turns&#44 + 4 sets of 3&#44 photos came out very well.,10/30/2012,0,0.0
7498,2004-10-07 12:45:00,malmesbury,,,oval,60,1 min,Malmesbury Aliens in Somerfield Area,10/27/2004,51.586357,-2.102834
7504,2005-10-07 09:00:00,kirby bellars (leicstershire) (uk/england),,,other,20,20 seconds,star shape low flying fast,10/11/2005,52.755637,-0.947553
7625,1993-10-08 19:00:00,gampola (sri lanka),,,light,3600,1 hour,We saw one red light and five strange creatures on the mountain top.,11/19/2012,7.126777,80.564677
7659,2001-10-08 21:00:00,heredia (costa rica),,,other,6,6 seconds,I saw an object shaped like a butterfly&#44 with flapping wings or layers&#44 coming down and sharply made a u-turn upwards. It was just abov,11/20/2001,10.473523,-84.016742
7690,2005-10-08 13:00:00,sarajevo (bosnia),,,disk,3040,30 40 seconds, ((NUFORC Note:  We are awaiting additional information.  PD))  http://www.sartelcom.net/ET/ufo_nlo/ufo_nlo_sarajevo.html,10/11/2005,43.856259,18.413076
7835,2013-10-08 22:00:00,newark,,,changing,600,10 minutes,Big white orange changing size fire ball.,10/14/2013,0,0.0
7841,1988-10-09 21:00:00,bridgend,,,disk,900,15 mins,The experience was not frightening&#44 it was a beautiful craft that we saw and if it were to come back then it would be great&#33,2/18/2001,51.504286,-3.576945
7845,1992-10-09 19:49:00,eastern usa,,,other,41,41 seconds,Fireball meteor impacts a car with license plate carrying a message just before NASA begins HRMS project..,12/20/2012,31.952856,-102.171694
8038,2013-10-09 05:35:00,oltenita (calarasi) (romania),,,circle,7200,2 hours,Light on sky.,10/14/2013,44.086667,26.636667
8056,2013-10-09 21:15:00,gillingham,,,diamond,900,15 minutes,Was me and my son.I was closing bedroom curtain nd like usually like to look out at sky for stars I then  saw a few stars twinkling in,10/14/2013,51.386322,0.551438
8057,2013-10-09 21:15:00,gillingham,,,diamond,900,15 minutes,Was me and my son?I was closing bios bedroom curtain nd like unusually like to look out at sky for stars I then  saw a few stars twinkl,10/14/2013,51.386322,0.551438
8069,1973-01-10 02:30:00,barrigada (marianas islands/guam),,,cigar,300,5 minutes,Cigar-shaped metalic craft with rotating redish and blue-green lights sighted during early morning hours while viewing stars with a new,11/19/1998,0,0.0
8144,2003-01-10 22:54:00,johannesburg (south africa),,,light,10800,3 hours,ufo&#39s travel in formation of orion for three hours disguising themselves as stars,03/04/2003,0,0.0
8160,2004-01-10 23:00:00,guatemala,,,light,10800,3 hours,in guatemala city the whole city saww it and lasted 3 hours the news broadcast got it on tape is a good tape it proofs it there were fl,1/17/2004,15.783471,-90.230759
8242,2010-01-10 21:05:00,uk/england,,,circle,900,15min,This craft new what it was doing,7/17/2011,52.355518,-1.17432
8296,2014-01-10 22:43:00,johannesburg (south africa),,,circle,600,10 minutes,5 bright orange lights spotted moving rapidly accross the nightsky.,1/16/2014,0,0.0
8324,1995-11-10 23:00:00,st. thomas (charlotte amalie) (u. s. virgin islands),,,circle,0,unknown,A LARGE MOON SIZE ILUMINATED GLOBE,05/12/2010,0,0.0
8574,1967-11-11 20:00:00,danang (viet nam),,,light,60,1 minute,Bright object travelling across the sky made a sudden 90 degree turn.,4/16/2005,16.054407,108.202167
8588,1989-11-11 05:30:00,jamaica,,,cylinder,120,a few minutes,A cylinder looking object&#44 which travelled at great speed with fire reddish&#44 blueish flames,4/22/2003,0,0.0
8590,1989-11-11 20:00:00,dun laoghaire (republic of ireland),,,disk,60,1 minute,It was a saucer above with a steel finish and flashing lights that changed colour&#44 it made no sound,01/11/2002,53.29279,-6.141937
8592,1993-11-11 23:00:00,philipsburg (st. maarten) (dutch antilles),,,circle,20,20 secs,2 circular objects flying formation after brief positioning next to each  dark blackout night no lights 1 witness caribbean,3/17/2004,0,0.0
8605,1998-11-11 01:23:00,st. john&#39s (antigua),,,flash,20,15-20 secs,Appeared at first to be just another meteor burning on entry&#44 but it stopped moving and started a random controlled flashing.,8/30/1999,0,0.0
8640,2002-11-11 03:24:00,paris airport (near open field) (france),,,disk,72,01:12,movin left&#44 then right&#44 up&#44&#44 then down&#44&#44 slowly landing big&#44bright as day one other man on plane saw it too with out the window he just,11/16/2002,35.296832,-93.685778
8670,2004-11-11 19:40:00,uk/england,,,circle,10,10 secs,the 2 brightest objects I have ever seen,12/03/2004,52.355518,-1.17432
8677,2005-11-11 17:00:00,philippines,,,unknown,0,,only 2 layers of blur lights around &#44 forming a circle. It seems to be huge but invisible &#44 only th elights around it I saw. It is stat,10/30/2006,12.879721,121.774017
8803,2013-11-11 21:52:00,cochabamba (bolivia),,,diamond,1800,30 minutes,Blue leds.,11/20/2013,-17.383333,-66.166667
8817,1967-11-01 21:00:00,vaucouleurs (lorfrance,,,light,120,2 min.,Slow moving across sky&#44 stopped and after about a half minute it shot directly verticle in elevation instantanously.,12/19/2003,48.601914,5.66551
8832,1973-11-01 23:00:00,bentwaters afb (near woodbridge) (uk/england),,,fireball,300,5 mins,Bentwaters 1973,4/16/2005,0,0.0
8839,1975-11-01 06:00:00,australian outback,,,unknown,360,six minutes,Outback UFO appeared to be observing us&#44 while we observed it.,8/24/2004,37.715349,-97.409008
8842,1976-11-01 16:00:00,fujisawa (kanagawa prefecture)(japan),,,other,30,30 seconds,A big&#44 black&#44 round&#44 &amp; spinning UFO with a WAVY EDGE slowly moving across the sky in a straight line in Japan.,04/11/2014,0,0.0
8865,1985-11-01 18:00:00,east london (south africa),,,sphere,5,5 seconds,Flourescent Orbs,5/29/2012,51.508515,-0.125487
8917,1997-11-01 22:00:00,aguas claras (costa rica),,,disk,120,11/2 min,mercury colored saucer  comes down leaving a trail of neon green smoke that lite up the farm like if it was day.,7/16/2006,0,0.0
8933,1998-11-01 20:00:00,tinaquillo (venezuela),,,diamond,10,ten seconds,The star that caught my eyes in moonless night&#33.,01/11/2002,9.916667,-68.3
8975,2001-01-11 09:06:00,kilkenny (republic of ireland),,,sphere,300,5 mins,3 balls of light seen at Kilkenny ireland.,2/18/2001,52.654145,-7.244788
9099,2004-11-01 18:20:00,ciudad quesada (costa rica),,,oval,2,seconds,An U.F.O appears in Costa Rica in a beautiful and clear afternoon.,12/07/2006,10.327078,-84.435671
9358,2013-11-01 14:45:00,qutong gorge (yangtze river) (china),,,circle,2,seconds,China&#44  Circular.  10-20 seconds  Along Yangtze River at Qutong Gorge,11/20/2013,0,0.0
9383,2013-01-11 21:00:00,australia,,,disk,30,30 seconds,UFO in Western Australian skies.,5/15/2013,-25.274398,133.775136
9445,1999-11-12 23:30:00,magnetic island (qld&#44 australia),,,light,600,10 mins,watching storm&#44thought a boat let out a flare&#44a red hovering light but the flare zig zagged then flew on angle&#44 then flew straight behi,4/15/2000,-19.135865,146.842356
9492,2004-11-12 19:05:00,seoul,,,unknown,60,1 minute,A light flight to norh in straight and zigzag. Then disappeared.,12/03/2004,37.566535,126.977969
9527,2007-11-12 21:00:00,east london (south africa),,,oval,60,=- 1 minute,While having a ciggy&#44 I saw a UFO move quietly over my home.....was about 5m above the tree-tops......,11/28/2007,51.508515,-0.125487
9579,2010-11-12 19:15:00,pristina (kosovo),,,fireball,23,2&#443 seconds,round ball of fire travelling very fast what looked like a large orange fireball,11/21/2010,42.657798,21.153346
9620,2012-11-12 21:00:00,chennai (madras) (india),,,circle,60,1 minutes,((No information from witness.)),11/19/2012,13.052414,80.250825
9665,1999-11-13 15:15:00,estcourt (south africa),,,rectangle,10,5-10seconds,The day was beautiful not a cloud in the sky&#44 I was playing in a golf tournament and at about 15:15h I happened to look up into the sky,01/07/2000,0,0.0
9694,2003-11-13 01:30:00,aruba (caribbean),,,triangle,12000,3 hours and 20 minutes,Strange lights off the coastline of Aruba,1/17/2004,12.52111,-69.968338
9708,2003-11-13 21:30:00,atlantic ocean (virgin islands),,,rectangle,60,1 minute,A bright Orange Object appeared to be observing our cruise ship in the southern atlantic ocean,11/26/2003,-14.599413,-28.673147
9797,2010-11-13 21:30:00,australia,,,changing,600,10 min,Strange group of moving bright objects observed by family and captured footage in AU Nov 10&#39 ((NUFORC Note:  Photos ambiguous.  PD)),11/21/2010,-25.274398,133.775136
9810,2012-11-13 00:30:00,amsterdam (north part) (netherlands),,,oval,300,5 minutes,Amsterdam globe 5 minutes orange oval (sphere like),11/19/2012,0,0.0
10022,2008-11-14 19:30:00,aland islands (forty miles south of) (finland),,,fireball,10,ten seconds,En route from London Stansted Airport&#44 UK to Helsinki Intl&#44 Finland with Czech Airlines&#44 Boeing 737.Approximately forty miles south,3/19/2009,60.178525,19.91561
10027,2008-11-14 21:00:00,manchester (glossup) uk/england,,,circle,7200,2 hours,8 round red stationary objects that shone even through the clouds.,01/10/2009,53.479324,-2.248485
10110,2013-11-14 20:05:00,gordons bay (cape town)(south africa),,,light,25,25 seconds,I first thought this might have been a airplane&#44 but when it started dropping I knew it wasn&#39t unless it was on fire(it left no trail o,11/20/2013,-34.151467,18.872973
10164,1979-11-15 21:30:00,finland,,,changing,10,10 seconds,Diamond or kite shaped cluster of high altitude red lights that changed to horseshoe pattern and zipped to the horizon.,05/11/2005,61.92411,25.748151
10189,1989-11-15 10:00:00,iver heath (xbridge.nwl ondon (thames) (uk/england),,,other,3600,1hr1/2,it looks like smoke no thats a ufo mate.1989.,07/05/2008,51.550908,-0.521463
10202,1990-11-15 23:30:00,jubail (saudi arabia),,,oval,120,2min,Pre-sighting of March 1996 Blue Oval near Jubail Saudi Arabia,10/31/2003,27,49.666667
10254,1998-11-15 19:50:00,newborough (vic&#44 australia),,,oval,60,half and hour,Hovering over mountain about 10kms away from our house. Started as 2 Big glowing balls of Red the changed to 5 little red glowing balls,08/10/1999,53.164868,-4.359065
